"","sensor_index","pm2.5_cf_1_a","latitude","longitude"
"1",100025,8.589,34.170567,-118.11396
"2",100025,8.589,34.170567,-118.11396
"3",100555,3.316,33.957664,-118.44063
"4",106394,8.48,33.82732,-118.17597
"5",109166,5.169,33.83465,-117.968254
"6",126047,1.185,34.23736,-118.55186
"7",127191,1.409,34.05181,-118.64267
"8",33299,4.112,33.639633,-117.84985
"9",39327,8.946,34.146706,-118.35982
"10",61563,1.006,34.026253,-118.43484
"11",61565,7.581,34.026264,-118.43475
"12",63387,14.204,34.237225,-118.264435
"13",63535,8.959,33.324787,-117.24364
"14",64419,4.893,33.546986,-117.75585
"15",73717,5.689,33.810402,-118.380646
"16",74003,2.958,34.241467,-118.23594
"17",74693,2.162,34.020546,-118.36164
"18",75071,1.731,34.05852,-118.35763
"19",75145,1.205,34.2269,-118.25308
"20",75193,29.662,33.64843,-117.756516
"21",75375,2.888,34.0747,-118.4293
"22",75453,15.345,33.82754,-118.19693
"23",75703,3.608,33.903862,-118.05405
"24",75839,8.975,34.086636,-118.38499
"25",76203,2.359,33.958443,-118.449165
"26",76295,5.483,34.138287,-118.12733
"27",77543,69.869,34.151833,-118.16135
"28",77657,9.459,34.058422,-118.357635
"29",77863,6.606,33.618958,-117.93421
"30",78091,8.97,34.112766,-118.46301
"31",78139,4.42,34.13935,-118.12343
"32",78373,5.717,34.1246,-118.37174
"33",78587,69.202,34.103516,-118.14624
"34",78635,76.719,34.118977,-118.21224
"35",78637,39.608,33.903923,-118.05344
"36",78849,1.881,33.812164,-118.020386
"37",78917,1.471,34.277843,-118.73322
"38",78997,1.727,34.0314,-117.155
"39",79335,1.047,34.224792,-118.05709
"40",79577,3.25,33.959095,-118.44429
"41",79617,5.366,34.03569,-118.84359
"42",79715,11.296,34.115955,-118.630936
"43",79897,4.177,34.147762,-118.564156
"44",79953,40.13,34.132217,-118.13837
"45",80033,10.454,34.152534,-118.38098
"46",80069,31.145,34.133114,-118.23514
"47",80213,2.383,34.157894,-117.991875
"48",80357,13.88,34.296574,-118.84804
"49",80455,39.68,34.215965,-118.24435
"50",80507,4.468,34.09952,-118.32564
"51",80731,22.279,33.815845,-117.81762
"52",80807,33.678,34.162037,-118.16978
"53",80859,4.645,33.877094,-118.3758
"54",82271,85.347,34.161163,-118.14415
"55",86185,16.447,34.099808,-118.266624
"56",86559,14.747,33.75025,-118.29792
"57",86933,30.874,34.0736,-118.20003
"58",86951,10.182,33.952484,-117.94851
"59",86987,3.253,34.224415,-118.05706
"60",86999,11.232,33.86671,-118.37983
"61",87011,7.78,34.140347,-118.41234
"62",87127,1.851,33.32479,-117.24321
"63",87129,14.024,33.970142,-118.37188
"64",87455,18.707,34.14486,-117.99409
"65",87567,5.903,34.030655,-118.505875
"66",87791,5.377,34.046158,-118.49772
"67",90115,16.003,34.202305,-118.173416
"68",90225,6.492,34.01469,-118.471275
"69",90609,21.366,34.11574,-117.17226
"70",91511,13.276,33.765705,-118.40046
"71",91969,62.965,34.099785,-118.14243
"72",100715,32.23,34.10719,-118.20404
"73",101081,14.604,34.06933,-117.74944
"74",101629,17.506,33.865692,-117.9559
"75",102032,39.962,34.170277,-118.1603
"76",102180,13.597,34.048347,-117.1459
"77",103208,2.495,33.710415,-117.8029
"78",103230,6.84,34.05532,-117.299995
